step,epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1
0,1,0.7062806487083435,0.2860824742268041,0.2860824742268041,1.0,0.44488977955911824
1,1,0.7062947750091553,,,,
2,1,0.701647162437439,,,,
3,1,0.695782482624054,,,,
4,1,0.6915640830993652,,,,
5,1,0.6895588636398315,,,,
6,1,0.6865347623825073,,,,
7,1,0.6810752749443054,,,,
8,1,0.6823192238807678,,,,
9,1,0.6709871292114258,,,,
10,1,0.6728179454803467,,,,
11,1,0.654967188835144,,,,
12,1,0.6535993218421936,,,,
13,1,0.6611149311065674,,,,
14,1,0.6536680459976196,,,,
15,1,0.6557921171188354,,,,
16,1,0.6069027185440063,,,,
17,1,0.6440457701683044,,,,
18,1,0.5825805068016052,,,,
19,1,0.5700387954711914,,,,
20,1,0.6027923822402954,,,,
21,1,0.6040774583816528,,,,
22,1,0.585319995880127,,,,
23,1,0.5720407366752625,,,,
24,1,0.5828177332878113,,,,
25,1,0.5369964838027954,,,,
26,1,0.5955485105514526,,,,
27,1,0.5537649393081665,,,,
28,1,0.6452223062515259,,,,
29,1,0.6199745535850525,,,,
30,1,0.6951999664306641,,,,
31,1,0.5243728756904602,,,,
32,1,0.4766274690628052,,,,
33,1,0.6486743092536926,,,,
34,1,0.5274057388305664,,,,
35,1,0.4939458966255188,,,,
36,1,0.6485300064086914,,,,
37,1,0.4753989577293396,,,,
38,1,0.6970431804656982,,,,
39,1,0.505378782749176,,,,
40,1,0.5570937395095825,,,,
41,1,0.6551241874694824,,,,
42,1,0.6378315687179565,,,,
43,1,0.47238147258758545,,,,
44,1,0.5862700939178467,,,,
45,1,0.6667904257774353,,,,
46,1,0.583871066570282,,,,
47,1,0.5633798837661743,,,,
48,1,0.48871421813964844,,,,
49,1,0.4823817014694214,,,,
50,1,0.5164939761161804,0.7139175257731959,0.0,0.0,0.0
51,1,0.5815998315811157,,,,
52,1,0.5198783278465271,,,,
53,1,0.5113759636878967,,,,
54,1,0.6220327615737915,,,,
55,1,0.5743826627731323,,,,
56,1,0.5692167282104492,,,,
57,1,0.5258537530899048,,,,
58,1,0.5408397316932678,,,,
59,1,0.4979647696018219,,,,
60,1,0.5230938196182251,,,,
61,1,0.45271390676498413,,,,
62,1,0.4306981563568115,,,,
63,1,0.5964473485946655,,,,
64,1,0.47998905181884766,,,,
65,1,0.5142666101455688,,,,
66,1,0.5214774012565613,,,,
67,1,0.5744348168373108,,,,
68,1,0.5809433460235596,,,,
69,1,0.5652732253074646,,,,
70,1,0.5537252426147461,,,,
71,1,0.46942755579948425,,,,
72,1,0.5108210444450378,,,,
73,1,0.5700303912162781,,,,
74,1,0.4245626628398895,,,,
75,1,0.41421258449554443,,,,
76,1,0.46886739134788513,,,,
77,1,0.513995885848999,,,,
78,1,0.5719237923622131,,,,
79,1,0.4106333255767822,,,,
80,1,0.48995158076286316,,,,
81,1,0.5038678646087646,,,,
